vin;is_owner;is_promo;region;city;brand;model;year;mileage;count_owners;air_condition;color;price;en_capacity;en_type;en_power;num_cylinders;fuel_waste_mix;body_type;modification;num_doors;gearbox_type;wheel_drive;steering_wheel;link;ad_date;avito_id;model_uid
;True;;Владимирская область;Ковров;ВАЗ (LADA);Priora;2023;233000;3;False;Зелёный;255000;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_priora_1.6_mt_2009_233000km_2908431640;2023-08-09;2908431640;o2drKfx
;True;;Владимирская область;Владимир;ВАЗ (LADA);4x4 (Нива);2023;130000;4+;False;Зелёный;420000;1690;Бензин;80;4.0;1.0;Внедорожник;1.7 MT (80 л.с.);3;Механика;Полный;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_4x4_niva_1.7_mt_2010_130000km_3190798954;2023-08-09;3190798954;X0e3OTw
;False;;Владимирская область;Владимир;ВАЗ (LADA);Kalina;2023;170700;2;False;Чёрный;277000;1596;Бензин;84;4.0;7.8;Седан;1.6 MT (84 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_kalina_1.6_mt_2011_170700km_3268446854;2023-08-06;3268446854;80Po3uY
;False;;Владимирская область;Владимир;ВАЗ (LADA);Priora;2023;199200;3;False;Чёрный;267000;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_priora_1.6_mt_2007_199200km_3300507541;2023-08-10;3300507541;o2drKfx
;True;;Владимирская область;Александровский р-н;ВАЗ (LADA);Priora;2023;180000;2;False;Серебряный;270000;1596;Бензин;98;4.0;7.2;Универсал;1.6 MT (98 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/aleksandrov/avtomobili/vaz_lada_priora_1.6_mt_2010_180000km_2952200002;2023-08-08;2952200002;ek1EvSp
;True;;Владимирская область;Суздальский р-н;ВАЗ (LADA);1111 Ока;2023;74000;1;False;Красный;70000;749;Бензин;33;2.0;6.8;Хетчбэк;0.7 MT (33 л.с.);3;Механика;;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_1111_oka_0.7_mt_1998_74000km_3372348393;2023-08-07;3372348393;B5pXEsE
;True;;Владимирская область;Владимир;ВАЗ (LADA);Vesta;2023;13000;1;True;Коричневый;1315000;1596;Бензин;106;4.0;7.5;Седан;1.6 MT (106 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_vesta_1.6_mt_2022_13000km_3324748051;2023-08-04;3324748051;R4wdjCE
;True;;Владимирская область;Владимир;Vortex;Tingo;2023;156000;2;True;Серый;360000;1845;Бензин;132;4;9.2;Внедорожник;1.9 MT (132 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vortex_tingo_1.9_mt_2011_156000km_3059062057;2023-08-06;3059062057;Nd07Qhr
;True;;Владимирская область;Ковров;ВАЗ (LADA);2114 Samara;2023;120000;4+;False;Белый;229500;1596;Бензин;81;4.0;7.6;Хетчбэк;1.6 MT (81 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_2114_samara_1.6_mt_2012_120000km_3278402737;2023-08-06;3278402737;Bd7AMUE
;True;;Владимирская область;Ковров;ВАЗ (LADA);Largus;2023;100000;1;False;Белый;1270000;1598;Бензин;106;4.0;7.9;Универсал;1.6 MT (106 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_largus_1.6_mt_2018_100000km_3229894646;2023-08-06;3229894646;MdYl6FE
