brand;model;car_year;mileage;body_type;price;link
ВАЗ (LADA);Kalina;2012;115000;Хетчбэк;435000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_kalina_2012_3087367229
ВАЗ (LADA);Granta;2016;200000;Седан;475000.0;https://www.avito.ru/kara-tyube/avtomobili/vaz_lada_granta_2016_2453584630
ВАЗ (LADA);Kalina;2012;177710;Хетчбэк;360000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_kalina_2012_2998635090
ВАЗ (LADA);4x4 (Нива);2013;92000;Внедорожник;550000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_4x4_niva_2013_3087718438
ВАЗ (LADA);Granta;2016;159718;Седан;510000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2016_3064998186
ВАЗ (LADA);Granta;2012;143000;Седан;555555.0;https://www.avito.ru/nevinnomyssk/avtomobili/vaz_lada_granta_2012_3034044702
ВАЗ (LADA);Vesta;2020;45000;Седан;1200000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2020_3053390663
ВАЗ (LADA);2110;2010;270000;Седан;200000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2110_2010_3017587803
ВАЗ (LADA);2112;2007;280000;Хетчбэк;165000.0;https://www.avito.ru/novoselitskoe/avtomobili/vaz_lada_2112_2007_3140673458
ВАЗ (LADA);2107;1986;14308;Седан;120000.0;https://www.avito.ru/stavropolskiy_kray_sovetskaya/avtomobili/vaz_lada_2107_1986_3211792796
ВАЗ (LADA);2115 Samara;2011;101000;Седан;250000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2115_samara_2011_3100151259
ВАЗ (LADA);Vesta;2022;34000;Седан;1180000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2022_3187193894
ВАЗ (LADA);2114 Samara;2013;130000;Хетчбэк;315000.0;https://www.avito.ru/budennovsk/avtomobili/vaz_lada_2114_samara_2013_3089580849
ВАЗ (LADA);Granta;2020;31000;Седан;870000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_granta_2020_2619299962
ВАЗ (LADA);Kalina;2005;190000;Седан;240000.0;https://www.avito.ru/kislovodsk/avtomobili/vaz_lada_kalina_2005_2993262164
ВАЗ (LADA);Kalina;2010;150000;Универсал;295000.0;https://www.avito.ru/budennovsk/avtomobili/vaz_lada_kalina_2010_3088771306
ВАЗ (LADA);2115 Samara;2005;173000;Седан;270000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_2115_samara_2005_2993579312
ВАЗ (LADA);Priora;2015;101000;Седан;615000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_priora_2015_2445791491
ВАЗ (LADA);2114 Samara;2007;160000;Хетчбэк;250000.0;https://www.avito.ru/mineralnye_vody/avtomobili/vaz_lada_2114_samara_2007_3062463771
УАЗ;Patriot;2014;150000;Внедорожник;700000.0;https://www.avito.ru/essentukskaya/avtomobili/uaz_patriot_2014_3021151238
ВАЗ (LADA);21099;2000;275500;Седан;120000.0;https://www.avito.ru/pelagiada/avtomobili/vaz_lada_21099_2000_2935991649
